query_id,query_text,embedding_text,focus_text,context_profile,prompt_text,prompt_preview,input_tokens,chunk_ids_needed,shared_chunk_ids,unique_chunk_ids,num_chunks,runtime_chunk_ids,chunk_event_source,chunk_id_source,runtime_event_count,tier_transition_event,cache_file_count_before,cache_file_count_after,cache_disk_mb_before,cache_disk_mb_after,pressure_phase
1,Who is the founder of Microsoft?,"Focus question: Who is the founder of Microsoft?
Context profile: no_shared_context
Prompt tokens: 7
Context preview: Who is the founder of Microsoft?",Who is the founder of Microsoft?,no_shared_context,Who is the founder of Microsoft?,Who is the founder of Microsoft?,7,[0],[],[0],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
2,What is the chemical symbol for sodium?,"Focus question: What is the chemical symbol for sodium?
Context profile: no_shared_context
Prompt tokens: 8
Context preview: What is the chemical symbol for sodium?",What is the chemical symbol for sodium?,no_shared_context,What is the chemical symbol for sodium?,What is the chemical symbol for sodium?,8,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
3,How many players are there in a baseball team?,"Focus question: How many players are there in a baseball team?
Context profile: no_shared_context
Prompt tokens: 10
Context preview: How many players are there in a baseball team?",How many players are there in a baseball team?,no_shared_context,How many players are there in a baseball team?,How many players are there in a baseball team?,10,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
4,What year did World War II end?,"Focus question: What year did World War II end?
Context profile: no_shared_context
Prompt tokens: 8
Context preview: What year did World War II end?",What year did World War II end?,no_shared_context,What year did World War II end?,What year did World War II end?,8,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
5,What is the tallest species of tree?,"Focus question: What is the tallest species of tree?
Context profile: no_shared_context
Prompt tokens: 8
Context preview: What is the tallest species of tree?",What is the tallest species of tree?,no_shared_context,What is the tallest species of tree?,What is the tallest species of tree?,8,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
6,Who wrote The Divine Comedy?,"Focus question: Who wrote The Divine Comedy?
Context profile: no_shared_context
Prompt tokens: 6
Context preview: Who wrote The Divine Comedy?",Who wrote The Divine Comedy?,no_shared_context,Who wrote The Divine Comedy?,Who wrote The Divine Comedy?,6,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
7,What is the hardest rock type?,"Focus question: What is the hardest rock type?
Context profile: no_shared_context
Prompt tokens: 7
Context preview: What is the hardest rock type?",What is the hardest rock type?,no_shared_context,What is the hardest rock type?,What is the hardest rock type?,7,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
8,How many hearts does a squid have?,"Focus question: How many hearts does a squid have?
Context profile: no_shared_context
Prompt tokens: 8
Context preview: How many hearts does a squid have?",How many hearts does a squid have?,no_shared_context,How many hearts does a squid have?,How many hearts does a squid have?,8,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
9,What is the main ingredient in guacamole?,"Focus question: What is the main ingredient in guacamole?
Context profile: no_shared_context
Prompt tokens: 10
Context preview: What is the main ingredient in guacamole?",What is the main ingredient in guacamole?,no_shared_context,What is the main ingredient in guacamole?,What is the main ingredient in guacamole?,10,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
10,Who developed the polio vaccine?,"Focus question: Who developed the polio vaccine?
Context profile: no_shared_context
Prompt tokens: 7
Context preview: Who developed the polio vaccine?",Who developed the polio vaccine?,no_shared_context,Who developed the polio vaccine?,Who developed the polio vaccine?,7,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,6,6,18.0,18.0,baseline
