query_id,query_text,embedding_text,focus_text,context_profile,prompt_text,prompt_preview,input_tokens,chunk_ids_needed,shared_chunk_ids,unique_chunk_ids,num_chunks,runtime_chunk_ids,chunk_event_source,chunk_id_source,runtime_event_count,tier_transition_event,cache_file_count_before,cache_file_count_after,cache_disk_mb_before,cache_disk_mb_after,pressure_phase
1,Can you explain how the RehabQuest pose tracking works?,"Focus question: Can you explain how the RehabQuest pose tracking works?
Context profile: multiturn_dialog_history
Prompt tokens: 61
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: Can you elaborate further on: Can you explain how the RehabQuest pose tracking works?",Can you explain how the RehabQuest pose tracking works?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: Can you elaborate further on: Can you explain how the RehabQuest pose tracking works?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: Can you elaborate further on: Can you explain how the RehabQuest pose tracking works?",61,[0],[],[0],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
2,What is the calibration procedure at the start of each session?,"Focus question: What is the calibration procedure at the start of each session?
Context profile: multiturn_dialog_history
Prompt tokens: 88
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: What is the calibration procedure at the start of each session? Assistant: Here is my detailed answer for turn 2. User: Can you elaborate further on: What is the calibration procedure at the start of each session?",What is the calibration procedure at the start of each session?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: Can you elaborate further on: What is the calibration procedure at the start of each session?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: Can you elaborate further on: What is the calibration procedure at the start of each session?",88,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
3,How does T-pose calibration normalise body proportions?,"Focus question: How does T-pose calibration normalise body proportions?
Context profile: multiturn_dialog_history
Prompt tokens: 112
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: What is the calibration procedure at the start of each session? Assistant: Here is my detailed answer for turn 2. User: How does T-pose calibration normalise body proportions? Assistant: Here is my detailed answer for t",How does T-pose calibration normalise body proportions?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for turn 3.
User: Can you elaborate further on: How does T-pose calibration normalise body proportions?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for t",112,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
4,What are the hardware requirements for real-time pose tracking?,"Focus question: What are the hardware requirements for real-time pose tracking?
Context profile: multiturn_dialog_history
Prompt tokens: 137
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: What is the calibration procedure at the start of each session? Assistant: Here is my detailed answer for turn 2. User: How does T-pose calibration normalise body proportions? Assistant: Here is my detailed answer for t",What are the hardware requirements for real-time pose tracking?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for turn 3.
User: What are the hardware requirements for real-time pose tracking?
Assistant: Here is my detailed answer for turn 4.
User: Can you elaborate further on: What are the hardware requirements for real-time pose tracking?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for t",137,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
5,How does MediaPipe detect the 33 pose landmarks?,"Focus question: How does MediaPipe detect the 33 pose landmarks?
Context profile: multiturn_dialog_history
Prompt tokens: 164
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: What is the calibration procedure at the start of each session? Assistant: Here is my detailed answer for turn 2. User: How does T-pose calibration normalise body proportions? Assistant: Here is my detailed answer for t",How does MediaPipe detect the 33 pose landmarks?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for turn 3.
User: What are the hardware requirements for real-time pose tracking?
Assistant: Here is my detailed answer for turn 4.
User: How does MediaPipe detect the 33 pose landmarks?
Assistant: Here is my detailed answer for turn 5.
User: Can you elaborate further on: How does MediaPipe detect the 33 pose landmarks?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for t",164,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
6,What is the role of cosine similarity in joint angle computation?,"Focus question: What is the role of cosine similarity in joint angle computation?
Context profile: multiturn_dialog_history
Prompt tokens: 190
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: What is the calibration procedure at the start of each session? Assistant: Here is my detailed answer for turn 2. User: How does T-pose calibration normalise body proportions? Assistant: Here is my detailed answer for t",What is the role of cosine similarity in joint angle computation?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for turn 3.
User: What are the hardware requirements for real-time pose tracking?
Assistant: Here is my detailed answer for turn 4.
User: How does MediaPipe detect the 33 pose landmarks?
Assistant: Here is my detailed answer for turn 5.
User: What is the role of cosine similarity in joint angle computation?
Assistant: Here is my detailed answer for turn 6.
User: Can you elaborate further on: What is the role of cosine similarity in joint angle computation?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for t",190,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
7,How are joint angles computed in three dimensions?,"Focus question: How are joint angles computed in three dimensions?
Context profile: multiturn_dialog_history
Prompt tokens: 210
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: What is the calibration procedure at the start of each session? Assistant: Here is my detailed answer for turn 2. User: How does T-pose calibration normalise body proportions? Assistant: Here is my detailed answer for t",How are joint angles computed in three dimensions?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for turn 3.
User: What are the hardware requirements for real-time pose tracking?
Assistant: Here is my detailed answer for turn 4.
User: How does MediaPipe detect the 33 pose landmarks?
Assistant: Here is my detailed answer for turn 5.
User: What is the role of cosine similarity in joint angle computation?
Assistant: Here is my detailed answer for turn 6.
User: How are joint angles computed in three dimensions?
Assistant: Here is my detailed answer for turn 7.
User: Can you elaborate further on: How are joint angles computed in three dimensions?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for t",210,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
8,How is the system validated against Vicon motion capture?,"Focus question: How is the system validated against Vicon motion capture?
Context profile: multiturn_dialog_history
Prompt tokens: 237
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: What is the calibration procedure at the start of each session? Assistant: Here is my detailed answer for turn 2. User: How does T-pose calibration normalise body proportions? Assistant: Here is my detailed answer for t",How is the system validated against Vicon motion capture?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for turn 3.
User: What are the hardware requirements for real-time pose tracking?
Assistant: Here is my detailed answer for turn 4.
User: How does MediaPipe detect the 33 pose landmarks?
Assistant: Here is my detailed answer for turn 5.
User: What is the role of cosine similarity in joint angle computation?
Assistant: Here is my detailed answer for turn 6.
User: How are joint angles computed in three dimensions?
Assistant: Here is my detailed answer for turn 7.
User: How is the system validated against Vicon motion capture?
Assistant: Here is my detailed answer for turn 8.
User: Can you elaborate further on: How is the system validated against Vicon motion capture?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for t",237,[0],[0],[],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-a45a6c9c781278c@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
9,What accuracy metrics are used to evaluate performance?,"Focus question: What accuracy metrics are used to evaluate performance?
Context profile: multiturn_dialog_history
Prompt tokens: 258
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: What is the calibration procedure at the start of each session? Assistant: Here is my detailed answer for turn 2. User: How does T-pose calibration normalise body proportions? Assistant: Here is my detailed answer for t",What accuracy metrics are used to evaluate performance?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for turn 3.
User: What are the hardware requirements for real-time pose tracking?
Assistant: Here is my detailed answer for turn 4.
User: How does MediaPipe detect the 33 pose landmarks?
Assistant: Here is my detailed answer for turn 5.
User: What is the role of cosine similarity in joint angle computation?
Assistant: Here is my detailed answer for turn 6.
User: How are joint angles computed in three dimensions?
Assistant: Here is my detailed answer for turn 7.
User: How is the system validated against Vicon motion capture?
Assistant: Here is my detailed answer for turn 8.
User: What accuracy metrics are used to evaluate performance?
Assistant: Here is my detailed answer for turn 9.
User: Can you elaborate further on: What accuracy metrics are used to evaluate performance?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for t",258,[1],[],[1],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-38266da7537aa500@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
10,How does camera distance affect landmark detection accuracy?,"Focus question: How does camera distance affect landmark detection accuracy?
Context profile: multiturn_dialog_history
Prompt tokens: 282
Context preview: User: Hello AI. Assistant: Hi there! How can I help you today? User: Can you explain how the RehabQuest pose tracking works? Assistant: Here is my detailed answer for turn 1. User: What is the calibration procedure at the start of each session? Assistant: Here is my detailed answer for turn 2. User: How does T-pose calibration normalise body proportions? Assistant: Here is my detailed answer for t",How does camera distance affect landmark detection accuracy?,multiturn_dialog_history,"User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for turn 3.
User: What are the hardware requirements for real-time pose tracking?
Assistant: Here is my detailed answer for turn 4.
User: How does MediaPipe detect the 33 pose landmarks?
Assistant: Here is my detailed answer for turn 5.
User: What is the role of cosine similarity in joint angle computation?
Assistant: Here is my detailed answer for turn 6.
User: How are joint angles computed in three dimensions?
Assistant: Here is my detailed answer for turn 7.
User: How is the system validated against Vicon motion capture?
Assistant: Here is my detailed answer for turn 8.
User: What accuracy metrics are used to evaluate performance?
Assistant: Here is my detailed answer for turn 9.
User: How does camera distance affect landmark detection accuracy?
Assistant: Here is my detailed answer for turn 10.
User: Can you elaborate further on: How does camera distance affect landmark detection accuracy?","User: Hello AI.
Assistant: Hi there! How can I help you today?
User: Can you explain how the RehabQuest pose tracking works?
Assistant: Here is my detailed answer for turn 1.
User: What is the calibration procedure at the start of each session?
Assistant: Here is my detailed answer for turn 2.
User: How does T-pose calibration normalise body proportions?
Assistant: Here is my detailed answer for t",282,[2],[],[2],1,"[""Qwen-Qwen2.5-0.5B-Instruct@1@0@-3371f888f93a3b24@bfloat16.pt""]",lmcache_store_coldpass,lmcache_store_coldpass,1,none,13,13,39.0,39.0,baseline
