Experiment,Query_ID,State,Latency (s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,L3 Disk Cache (MB),RAM (GB),Prompt Preview
1. Shared Prefix,1,Cold,0.6944,263.53,4.26,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,2,Warm,0.5616,325.83,3.446,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,3,Warm,0.6688,273.64,4.103,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,4,Warm,0.662,282.46,3.964,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,5,Warm,0.5553,338.54,3.305,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,6,Warm,0.6418,288.24,3.89,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,7,Warm,0.6633,293.98,3.79,175,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,8,Warm,0.6943,269.32,4.158,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,9,Warm,0.6426,297.21,3.758,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,10,Warm,0.6593,285.15,3.924,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,11,Warm,0.6519,289.94,3.857,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,12,Warm,0.5889,317.52,3.527,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,13,Warm,0.4137,454.49,2.462,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,14,Warm,0.4518,407.22,2.755,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,15,Warm,0.4462,421.31,2.656,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,16,Warm,0.4919,376.07,2.981,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,17,Warm,0.5114,363.71,3.081,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,18,Warm,0.505,362.36,3.098,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,19,Warm,0.4706,403.71,2.768,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,20,Warm,0.448,408.5,2.748,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,21,Warm,1.0953,170.73,6.559,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,22,Warm,1.3072,142.29,7.875,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,23,Warm,1.1134,171.54,6.511,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,24,Warm,0.79,234.17,4.788,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,25,Warm,0.5569,341.18,3.276,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,26,Warm,0.776,238.39,4.703,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,27,Warm,0.7042,266.98,4.192,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,28,Warm,0.624,309.28,3.607,173,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,29,Warm,0.6193,301.94,3.709,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,30,Warm,0.6445,288.58,3.883,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,31,Warm,0.613,303.44,3.693,166,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,32,Warm,0.5273,348.92,3.216,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,33,Warm,0.4748,402.27,2.777,171,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,34,Warm,0.6806,268.88,4.176,163,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,35,Warm,0.7071,265.88,4.209,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,36,Warm,0.5151,363.02,3.085,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,37,Warm,0.4807,389.04,2.878,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,38,Warm,0.5025,376.15,2.973,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,39,Warm,0.7051,268.03,4.172,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,40,Warm,0.813,227.54,4.927,165,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,41,Warm,0.5058,373.69,2.993,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,42,Warm,0.4942,378.41,2.959,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,43,Warm,0.6696,282.27,3.962,169,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,44,Warm,0.6952,268.98,4.163,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,45,Warm,0.5018,378.66,2.952,170,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,46,Warm,0.559,334.5,3.348,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,47,Warm,0.7291,263.32,4.239,172,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,48,Warm,0.7162,262.51,4.263,168,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,49,Warm,0.5091,367.3,3.049,167,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,50,Warm,0.5251,350.4,3.202,164,20,0.0,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
2. Shared Docs (RAG),1,Cold,1.1386,1548.33,0.653,1743,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),2,Warm,1.4545,1220.39,0.829,1755,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),3,Warm,1.1329,1564.07,0.647,1752,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),4,Warm,0.7666,2314.04,0.437,1754,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),5,Warm,0.7717,2298.83,0.44,1754,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),6,Warm,0.7184,2461.03,0.411,1748,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),7,Warm,0.6672,2658.82,0.38,1754,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),8,Warm,0.6283,2828.2,0.358,1757,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),9,Warm,0.6261,2835.14,0.357,1755,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),10,Warm,0.7039,2514.59,0.402,1750,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),11,Warm,0.7151,2475.28,0.409,1750,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),12,Warm,0.7069,2501.18,0.404,1748,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),13,Warm,0.7109,2492.52,0.406,1752,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),14,Warm,0.6742,2640.05,0.383,1760,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),15,Warm,0.6153,2863.86,0.353,1742,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),16,Warm,0.5938,2979.1,0.34,1749,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),17,Warm,0.7194,2461.66,0.411,1751,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),18,Warm,0.7286,2429.31,0.416,1750,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),19,Warm,0.879,2017.18,0.501,1753,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),20,Warm,0.8475,2093.28,0.483,1754,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),21,Warm,0.685,2579.41,0.392,1747,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),22,Warm,0.6863,2587.79,0.391,1756,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),23,Warm,0.6616,2678.25,0.378,1752,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),24,Warm,0.6796,2598.76,0.389,1746,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),25,Warm,0.7743,2285.9,0.442,1750,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),26,Warm,0.6977,2535.51,0.399,1749,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),27,Warm,0.675,2620.73,0.386,1749,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),28,Warm,0.6108,2891.46,0.35,1746,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),29,Warm,0.8315,2123.88,0.476,1746,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),30,Warm,0.9372,1886.39,0.536,1748,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),31,Warm,0.7754,2280.18,0.444,1748,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
2. Shared Docs (RAG),32,Warm,0.7403,2389.64,0.423,1749,20,18.0,0.92,Context: Error reading file. Using dummy data. Error reading file. Using dummy d…
