Experiment,Query_ID,State,Latency (s),TTFT (ms),Prefill Time (ms),Decode Time (ms),TPOT (ms),Queue Time (ms),Decode Throughput (tok/s),Throughput (tok/s),Cost (ms/token),Input Tokens,Output Tokens,KV Size (MB),L1 GPU KV Usage (%),L1 GPU KV Capacity (MB),L2 CPU Cache Est (MB),L3 Disk Cache (MB),Disk Delta (MB),New Cache Chunks,GPU VRAM Used (MB),RAM (GB),Prompt Preview
1. Shared Prefix,1,Cold,0.1999,99.95,99.95,100.0,5.263,,200.0,915.23,1.227,163,20,1.91,4.0,48.0,0.0,0.0,0.0,0,2721.38,0.92,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,2,Warm,0.1529,52.93,52.93,100.0,5.263,,200.0,1196.6,0.938,163,20,1.91,4.0,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,3,Warm,0.1571,57.11,57.11,100.0,5.263,,200.0,1164.82,0.964,163,20,1.91,4.0,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,4,Warm,0.1556,55.57,55.57,100.0,5.263,,200.0,1202.0,0.932,167,20,1.957,4.1,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,5,Warm,0.1552,55.17,55.17,100.0,5.263,,200.0,1211.59,0.924,168,20,1.969,4.1,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,6,Warm,0.155,55.01,55.01,100.0,5.263,,200.0,1193.5,0.939,165,20,1.934,4.0,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,7,Warm,0.1683,68.33,68.33,100.0,5.263,,200.0,1158.47,0.962,175,20,2.051,4.3,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,8,Warm,0.1662,66.19,66.19,100.0,5.263,,200.0,1125.19,0.995,167,20,1.957,4.1,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,9,Warm,0.1553,55.3,55.3,100.0,5.263,,200.0,1229.88,0.908,171,20,2.004,4.2,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,10,Warm,0.1574,57.4,57.4,100.0,5.263,,200.0,1194.43,0.937,168,20,1.969,4.1,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,11,Warm,0.1606,60.55,60.55,100.0,5.263,,200.0,1177.19,0.95,169,20,1.98,4.1,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,12,Warm,0.1555,55.5,55.5,100.0,5.263,,200.0,1202.59,0.931,167,20,1.957,4.1,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
1. Shared Prefix,13,Warm,0.1605,60.45,60.45,100.0,5.263,,200.0,1171.69,0.955,168,20,1.969,4.1,48.0,0.0,0.0,0.0,0,2721.38,1.01,You are an expert Physiotherapist AI assistant for the RehabQuest platform. Your…
